time_ms,frame_time_ms,source_fps,latency_ms,new_frame,video_w,video_h,bitrate_mbps,total_frames,dropped_frames,audio_queue,audio_underruns
0.000,14.559,0.0,0.000,0,0,0,0.00,0,0,0,0
5.247,3.139,0.0,0.000,0,0,0,0.00,0,0,0,0
20.120,1.345,0.0,0.000,0,0,0,0.00,0,0,0,0
37.434,1.991,0.0,0.000,0,0,0,0.00,0,0,0,0
66.302,14.192,0.0,0.000,0,498,1080,0.00,2,0,0,0
76.837,8.060,0.0,13.306,1,498,1080,0.00,2,0,0,0
88.811,3.367,0.0,0.000,0,498,1080,0.00,3,0,0,0
108.057,5.945,0.0,7.056,1,498,1080,0.00,4,0,0,0
120.948,2.169,0.0,0.000,0,498,1080,0.00,5,0,0,0
141.570,5.450,0.0,10.118,1,498,1080,0.00,6,0,0,0
154.533,1.746,0.0,0.000,0,498,1080,0.00,6,0,0,0
171.590,2.136,0.0,0.000,0,498,1080,0.00,6,0,0,0
188.469,2.348,0.0,0.000,0,498,1080,0.00,6,0,0,0
204.534,1.745,0.0,0.000,0,498,1080,0.00,6,0,0,0
222.720,3.264,0.0,0.000,0,498,1080,0.00,6,0,0,0
246.070,9.947,0.0,9.927,1,498,1080,0.00,9,0,0,0
256.521,3.731,0.0,0.000,0,498,1080,0.00,10,0,0,0
276.453,6.969,0.0,13.789,1,498,1080,0.00,11,0,0,0
289.265,3.114,0.0,0.000,0,498,1080,0.00,12,0,0,0
309.920,7.101,0.0,14.205,1,498,1080,0.00,13,0,0,0
320.967,1.482,0.0,0.000,0,498,1080,0.00,14,0,0,0
339.919,3.767,0.0,17.916,1,498,1080,0.00,16,0,0,0
354.554,1.735,0.0,0.000,0,498,1080,0.00,16,0,0,0
375.820,6.334,0.0,19.424,1,498,1080,0.00,18,0,0,0
390.015,3.861,0.0,0.000,0,498,1080,0.00,19,0,0,0
408.541,5.720,0.0,19.979,1,498,1080,0.00,20,0,0,0
421.492,2.002,0.0,0.000,0,498,1080,0.00,21,0,0,0
447.187,11.031,0.0,25.871,1,498,1080,0.00,22,0,0,0
453.939,1.115,0.0,0.000,0,498,1080,0.00,22,0,0,0
475.774,6.283,0.0,20.927,1,498,1080,0.00,24,0,0,0
487.825,1.668,0.0,0.000,0,498,1080,0.00,24,0,0,0
507.985,5.160,0.0,19.479,1,498,1080,0.00,26,0,0,0
522.165,2.673,0.0,0.000,0,498,1080,0.00,27,0,0,0
542.095,5.935,0.0,20.193,1,498,1080,0.00,28,0,0,0
554.073,1.247,0.0,0.000,0,498,1080,0.00,28,0,0,0
575.026,5.532,0.0,19.900,1,498,1080,0.00,30,0,0,0
589.157,2.996,0.0,0.000,0,498,1080,0.00,31,0,0,0
606.793,3.965,0.0,17.645,1,498,1080,0.00,32,0,0,0
620.847,1.351,0.0,0.000,0,498,1080,0.00,32,0,0,0
641.002,4.839,0.0,9.726,1,498,1080,0.00,33,0,0,0
655.374,2.544,0.0,0.000,0,498,1080,0.00,34,0,0,0
673.465,3.967,0.0,8.779,1,498,1080,0.00,35,0,0,0
688.408,2.243,0.0,0.000,0,498,1080,0.00,35,0,0,0
704.424,1.577,0.0,0.000,0,498,1080,0.00,35,0,0,0
721.741,2.227,0.0,0.000,0,498,1080,0.00,35,0,0,0
737.540,1.358,0.0,0.000,0,498,1080,0.00,35,0,0,0
754.965,2.116,0.0,0.000,0,498,1080,0.00,35,0,0,0
772.732,3.216,0.0,7.201,1,498,1080,0.00,41,0,0,0
788.008,1.825,0.0,0.000,0,498,1080,0.00,42,0,0,0
808.508,5.658,0.0,9.001,1,498,1080,0.00,43,0,0,0
821.858,2.340,0.0,0.000,0,498,1080,0.00,44,0,0,0
840.688,4.500,0.0,6.636,1,498,1080,0.00,45,0,0,0
854.729,1.874,0.0,0.000,0,498,1080,0.00,46,0,0,0
874.850,5.327,0.0,7.737,1,498,1080,0.00,47,0,0,0
889.408,3.218,0.0,0.000,0,498,1080,0.00,48,0,0,0
906.711,3.854,0.0,6.659,1,498,1080,0.00,49,0,0,0
920.956,1.431,0.0,0.000,0,498,1080,0.00,50,0,0,0
941.285,5.094,0.0,7.031,1,498,1080,0.00,51,0,0,0
955.105,2.246,0.0,0.000,0,498,1080,0.00,52,0,0,0
974.713,5.187,0.0,6.899,1,498,1080,0.00,53,0,0,0
988.707,2.514,0.0,0.000,0,498,1080,0.00,54,0,0,0
